name,creator,category,format,date,endDate,location,description
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Book,Book,2026/01/29,2026/02/02,,"I thought this was a pretty solid book. I liked how not everything was told chronologically, but still sensibly. The story felt well-detailed, as well as the characters. I didn't really like the writing style for describing useless hypotheticals that didn't mean anything. Money also felt totally fake, and a lot of the video game references felt really forced to me. Still, the themes surrounding the artistic process, grinding, collaborating, and taking pride in things - those resonated with me. As well as the idea of video games as an alternate, freeing reality, and how friendships can often mean more than romantic relationships."
Lunar New Year Celebration,The Philadelphia Orchestra,Music,Orchestra Concert,2026/01/28,,the Kimmel Center,"Nice to celebrate the year of the horse - my year. The Chinese music was a pleasure to listen to, including the Spring Festival Overture, which I enjoyed playing with Pops years ago. The pipa and erhu were also a novel experience to listen to. Admittedly, I didn't like the programming at the end of just tacking on Hoedown and William Tell because it's the year of the horse, but I won't complain about getting to listen to Hoedown again."
H is for Hawk,,Movie,Movie,2026/01/24,,AMC Cherry Hill,"I don't think I really understood this movie. It was a sad story about coping with the death of a father, but what did the hawk have to do with it all? People have their own coping mechanisms, but I didn't feel like this was an impactful enough thing to make a movie about."
Interstellar,,Movie,Movie,2026/01/10,,,"I don't watch a lot of movies, but someone insisted I should watch this. I didn't quite like the plot, but the music was wonderful, and the science surrounding time dilation seemed fairly realistic. At least, up until the ""inside a black hole"", but I suppose we can make things up if we don't know what's actually inside black holes."
Disney's Fantasia in Concert,The Philadelphia Orchestra,Music,Orchestra Concert,2026/01/04,,the Kimmel Center,"They played the music while the Fantasia animations played in the background! It was a lot of fun and reminded me of the shenanigans we did in the Michigan Pops Orchestra. It'd been a while since I'd seen the Fantasia animations, and the only one I really remembered was the Sorcerer's Apprentice. It was an odd experience coming back to these animations designed to be an ""introduction"" to classical music when I already knew them - Dance of the Hours, Rite of Spring, the Trepak, etc. There was also a secret, unreleased animation for Clair de Lune that they played - it was beautiful, but I can see why it didn't make the cut, since the animation didn't really tell much of an exciting story, it was just a pretty thing to watch."
Katabasis,R.F. Kuang,Book,Book,2025/12/24,2025/12/28,,"I figured I'd try reading another novel by Kuang, and I discovered that I disliked it for the same reason: the writing style feels like the author is constantly trying to prove that she's smart. In this case, it was much more about math paradoxes, which I happen to know more about than the languages in Babel. This ticked me off a bit more as things were explained to me like I wasn't smart enough to understand it. Anyway, other than that, the story is an interesting journey through hell, and things are revealed to the reader at the right times non-chronologically. I think I would've really liked this book if it were written in a different way."
Popstronauts Across the Galaxy,The Michigan Pops Orchestra,Music,Orchestra Concert,2026/12/03,,the Michigan Theater,"Again, wonderful to see all my friends performing! I will say, I feel like the level of music dropped slightly at this concert, but the repertoire was still exciting - Fly Me to the Moon, Mario Galaxy 2, The Planets, etc. As always, the movies and antics were a joy to watch, especially with some more Pops alumni in the audience this time."
Hyrule Warriors: Age of Imprisonment,Nintendo,Video Game,Video Game (Nintendo Switch 2),2025/11/30,2025/12/17,,"I've never played any of these hack-and-slash kind of games before. I quite enjoyed it, but I can't help but feel like I was only getting a very cheap kind of joy out of it. Seeing hundreds of bokoblins and lizalfos die is awesome, but at the end of the day, I know all I'm really doing is mashing two buttons. Still, the animations and oomph of hitting enemies felt great, and Zelda music always hits the spot for me, especially if it's motivically related to Tears of the Kingdom. The story was just fine, especially because I knew how it had to end based on Tears of the Kingdom. I enjoyed this enough to get all the chests and koroks, but not enough to go back and 100% all the difficulty levels. It was pretty easy, but a gratifying way to turn off my brain after work."
The Sirens of Titan,Kurt Vonnegut,Book,Book,2025/11/29,,,"I really didn't like the writing style in this book. It felt so cut-and-dry, and some of the sentence syntax just took me multiple re-reads to fully understand. Some of the plot reveals felt very obvious and therefore underwhelming, like a poorly-written symphony that just shoves themes back in your face instead of developing them and layering them with countermelodies. The book's themes about free will was... fine, but didn't really resonate with me. I just feel like, even if free will isn't real, we can effectively treat it as real and just enjoy what we can do in our life. Overall, not a huge fan of this book."
Norwegian Wood,Haruki Murakami,Book,Book,2025/11/19,2025/11/23,,"A very eloquently-written novel - it somehow felt like Japanese wriitng to me, despite the translation. I was surprised how much it talked about sex, but it used that to narrate romantic relationships in a more direct way. It also reminds us that everyone is silently messed up in their own way, even if others don't see it, and people cope with that messed-up-ness in their own ways that may manifest in odd ways to an outsider. In a way, it reminded me to treat everyone as best as I could, because I have no clue what they're going through. I know that's probably not the main point of the book, but that's what I pulled from it."
The Gondoliers,Gilbert & Sullivan,Music,Opera,2025/11/15,,,"I'm not much of an opera person, and I mostly went to watch a friend play in the pit orchestra. I've played Gilbert and Sullivan before (Pirates of Penzance), and much of this felt the same style of music to me - a bit repetitive, albeit very catchy. I also couldn't follow the plot very well. But it was still interesting to see all the costumes and choreography, even if I didn't fully understand it."
Joe Hisaishi Returns,The Philadelphia Orchestra,Music,Orchestra Concert,2025/11/13,,,"Just as good, if not better than the first concert I saw Hisaishi! I'm still so grateful I got the chance to see him in person - he's still alive and kickin'. This time, Merry-go-round of Life and Castle in the Sky were the big pieces, and also Spirited Away and Totoro for encores. I was particularly entranced by the warmth in the middle strings for some of the pieces - perhaps I need to study orchestration more."
Kirby And the Forgotten Land + Star-crossed World,Nintendo,Video Game,Video Game (Nintendo Switch 2),2025/10/22,2025/11/07,,"I hadn't played Kirby in a while, much less a 3D Kirby! It's always so interesting to me how it goes from this cute game to killing god or something. Anyway, I enjoyed all the animations and music (except maybe the world map music of world 6) - cute and catchy as always. But the gameplay felt lacking. Not only were there greatly fewer copy abilities than previous Kirby games, each one also had fewer moves. I understand this is a concession to the 3D-ness of the game, but it made abilities less exciting. The only exception to this were the late-game upgraded abilities, and some of those felt really overtuned. I also ended up 100%-ing the game and the DLC, which may have driven me slightly insane - completing all the side quests in every level got very tiring after a while. Still, a fun, big Kirby game is never something I'll complain about."
My Neighbor Totoro,Studio Ghibli,Movie,Movie,2025/09/20,,,"In my head, this was always the icon of Ghibli, and I'm glad to finally have watched the movie! I don't think the tunes were quite as recognizable, but I always love the fantastical stories of Ghibli. The plot wasn't particularly innovative, but the animation, the colors, and the music more than made up for it."
Memories of Hyrule,Matt Harikian,Music,Concert,2025/09/13,,,"I didn't know what to expect out of this show, but I was pleasantly surprised! It definitely wasn't anything super grand - just solo piano - but lots of catchy, recognizable Zelda tunes. It was also clearly played mostly from memory with some improvisation, which was impressive (albeit at the cost of some missed notes and somewhat underwhelming transitions). The setting on a candlelit stage was also very pretty, especially with the korok plushes."
Kiki's Delivery Service,Studio Ghibli,Movie,Movie,2025/08/30,,,"A charming movie, and as expected, wonderful music. Of course, A Town with an Ocean View is the one hugely recognizable tune, but it was wonderful to see the bright colors bring it to life too. It's hard to remember that this was created in 1989 - I can only imagine how amazing it must've been for people back then to see all these fantasy elements come to life so vividly."
Dream Asia Food Festival,,Other,Festival,2025/08/30,,,"Lots of good food, as expected! But not much else, unfortunately. It was also kinda hot..."
Triforce Quartet + Project Fusion: Album Release Show,Triforce Quartet; Altissimo Arts,Music,Chamber music concert,2025/08/23,,,"String quartet playing video game music, in collaboration with a saxophone quartet too. It was a blast! These musicians were clearly way more experienced than I expected video gamers to be at an instrument. My favorites were the lick in Dolphin Shoals, and Gusty Garden Galaxy (in the original key with 5 flats!)."
Donkey Kong Bananza,Nintendo,Video Game,Video Game (Nintendo Switch 2),2025/08/23,2025/09/06,,"Big monke go crazy, right? I think, conceptually, the gameplay of this game was really enticing - destroy all the terrain, go crazy, see lots of destruction and particles flying everywhere. Unfortunately, that didn't really pan out for me. Not only was the destruction kind of uninteresting to me, the camera movement regularly made me so dizzy I had to stop playing the game. On top of that, I think I'm just not a fan of the collect-a-thon type of games - Super Mario Odyssey was also similarly bland to me because I just don't care about collecting all the moons/bananas. The level design felt too straightforward, and though I later realized there is some crazy movement tech, it looked so forced and un-discoverable to me that it didn't feel like the developers intended for it (unlike some of the Mario Odyssey hat-jumps). I think this was probably a good game, just not the game for me."
The Music of Joe Hisaishi,The Philadelphia Orchestra,Music,Orchestra concert,2025/06/26,,the Kimmel Center,"I still can't believe I got to see this concert! I haven't watched many Ghibli films, but the music is just iconic and recognizable, even without the films. The Symphony and Saga were both interesting new pieces - not quite classical, but not quite modern either, and quite distinctly Hisaishi-styled. And of course, everyone loved listening to Spirited Away. Listening to all this music made me really want to get back into composing again - it just reminded me of the wonderful atmospheres and imagery that can be created with sounds."
Panda Fest,,Other,Festival,2025/04/26,,"Dilworth Park, Philly","Just about the only panda-themed things I remember are a giant inflatable panda holding a cheesesteak, and some panda-decorated steamed buns. But the food from the various vendors was great! I remember there being some really good 烧饼 there, but I forget the vendor..."
Pops en Pointe,The Michigan Pops Orchestra,Music,Orchestra concert,2025/04/19,,,"Overall, a really solid performance, and much better than I remembered this orchestra being when I was part of it. Danzon 2 didn't pull apart like it did when I played it in this orchestra, Polovtsian Dances was appropriately bombastic, and there was even some beautiful Hisaishi in there too. It was also a wonderful time, just seeing all my friends again."
Sakura Matsuri,,Other,Festival,2025/04/12,,"Washington, DC","Unfortunately a bit windy that day, but a lot of fun! Mostly just walked around, looked at cool anime merch, ate food, and talked with friends. I'm not one to really buy things at a festival, but it's always fun to just see others enjoying themselves."
